timestamp,symbol,open,high,low,close,trades,volume,vwap,lastSize,turnover,homeNotional,foreignNotional
2018-04-27 00:00:00+00:00,XBTUSD,8846.5,9327.0,8611.0,9288.0,618268,3628323166,8877.8409,3200,40869956152820,408699.5615281989,3628323166.0
2018-04-28 00:00:00+00:00,XBTUSD,9288.0,9384.5,8910.0,8928.0,516355,2858560602,9203.8656,1,31059424085903,310594.2408590306,2858560602.0
2018-04-29 00:00:00+00:00,XBTUSD,8928.0,9450.0,8852.0,9343.5,537836,2857265463,9233.6103,12000,30945470336387,309454.7033638717,2857265463.0
2018-04-30 00:00:00+00:00,XBTUSD,9343.5,9540.0,9192.0,9400.5,455854,2283372166,9358.0386,3,24401136822591,244011.36822591,2283372166.0
2018-05-01 00:00:00+00:00,XBTUSD,9400.5,9457.0,9123.0,9250.0,437739,2370798272,9288.5008,1,25524367691900,255243.67691900136,2370798272.0
2018-05-02 00:00:00+00:00,XBTUSD,9250.0,9253.5,8800.5,9066.0,467963,2581286454,8980.6915,2000,28744534544678,287445.3454467792,2581286454.0
2018-05-03 00:00:00+00:00,XBTUSD,9066.0,9258.0,8974.5,9216.0,366161,1979596355,9121.5908,2500,21703456655912,217034.56655912052,1979596355.0
2018-05-04 00:00:00+00:00,XBTUSD,9216.0,9852.0,9167.5,9741.5,439901,3062952316,9442.8706,300,32437955988840,324379.5598884,3062952316.0
2018-05-05 00:00:00+00:00,XBTUSD,9741.5,9778.0,9351.0,9683.0,441122,2686795243,9658.1031,5000,27821014137111,278210.14137110783,2686795243.0
2018-05-06 00:00:00+00:00,XBTUSD,9683.0,9970.0,9671.5,9828.5,414283,2448922057,9842.5197,288,24883266379887,248832.6637988693,2448922057.0
2018-05-07 00:00:00+00:00,XBTUSD,9828.5,9936.0,9416.0,9600.5,422141,2905667236,9607.9939,500,30243203715420,302432.037154201,2905667236.0
2018-05-08 00:00:00+00:00,XBTUSD,9600.5,9618.0,9170.0,9359.5,508751,3094401138,9332.7112,1,33157946741349,331579.4674134889,3094401138.0
2018-05-09 00:00:00+00:00,XBTUSD,9359.5,9449.0,9002.0,9190.5,451130,2521604621,9244.7074,2000,27277189727742,272771.89727741794,2521604621.0
2018-05-10 00:00:00+00:00,XBTUSD,9190.5,9345.0,8966.0,9305.5,384652,2209067325,9180.2075,4000,24064832313259,240648.32313259173,2209067325.0
2018-05-11 00:00:00+00:00,XBTUSD,9305.5,9399.0,9001.0,9027.5,382472,2312772193,9243.8528,100,25019675895584,250196.75895583731,2312772193.0
2018-05-12 00:00:00+00:00,XBTUSD,9027.5,9027.5,8337.0,8413.0,549819,4076886927,8676.7896,1000,46987321184708,469873.2118470802,4076886927.0
2018-05-13 00:00:00+00:00,XBTUSD,8413.0,8634.5,8225.0,8477.0,554606,3743678488,8416.0916,20,44482622036256,444826.22036256647,3743678488.0
2018-05-14 00:00:00+00:00,XBTUSD,8477.0,8758.0,8336.0,8693.5,447401,2489733333,8554.3199,14261,29106128456920,291061.2845692,2489733333.0
2018-05-15 00:00:00+00:00,XBTUSD,8693.5,8882.5,8282.5,8678.0,504260,3328000880,8568.9803,1940,38838218525661,388382.1852566095,3328000880.0
2018-05-16 00:00:00+00:00,XBTUSD,8678.0,8849.0,8417.5,8476.5,430845,2518801102,8621.4329,78204,29216737617622,292167.3761762208,2518801102.0
2018-05-17 00:00:00+00:00,XBTUSD,8476.5,8497.0,8080.0,8334.5,488703,3019083310,8271.2986,15,36503181668392,365031.8166839265,3019083310.0
